snapshot_date,account_id,active_users_7d,conversations_7d,ai_suggestions_accepted_7d,tickets_7d,escalations_7d,renewal_due_in_30d_flag,churned_flag
2025-02-21,acct_00000001,6,3,3,3,1,0,0
2025-02-22,acct_00000001,4,2,2,2,1,0,0
2025-02-23,acct_00000001,5,3,2,3,1,0,0
2025-02-24,acct_00000001,4,2,2,2,0,0,0
2025-02-25,acct_00000001,5,3,2,3,0,0,0
2025-02-26,acct_00000001,4,3,1,3,0,0,0
2025-02-27,acct_00000001,5,4,1,4,0,0,0
2025-02-28,acct_00000001,6,4,0,4,0,0,0
2025-03-01,acct_00000001,6,4,0,4,0,0,0
2025-03-02,acct_00000001,7,5,0,5,0,0,0
2025-03-03,acct_00000001,7,5,0,5,0,1,0
2025-03-04,acct_00000001,7,5,0,5,0,1,0
2025-03-05,acct_00000001,7,7,0,7,1,1,0
2025-03-06,acct_00000001,7,6,0,6,1,1,0
2025-03-07,acct_00000001,6,5,0,5,1,1,0
2025-03-08,acct_00000001,7,7,0,7,2,1,0
2025-03-09,acct_00000001,5,5,0,5,2,1,0
2025-03-10,acct_00000001,5,5,0,5,2,1,0
2025-03-11,acct_00000001,5,5,0,5,2,1,0
2025-03-12,acct_00000001,4,3,0,3,1,1,0
2025-03-13,acct_00000001,5,3,0,3,1,1,0
2025-03-14,acct_00000001,6,5,0,5,1,1,0
2025-03-15,acct_00000001,4,3,0,3,0,1,0
2025-03-16,acct_00000001,5,4,1,4,0,1,0
2025-03-17,acct_00000001,5,4,1,4,0,1,0
2025-03-18,acct_00000001,5,3,1,3,0,1,0
2025-03-19,acct_00000001,5,3,1,3,0,1,0
2025-03-20,acct_00000001,6,4,1,4,0,1,0
2025-03-21,acct_00000001,4,2,1,2,0,1,0
2025-03-22,acct_00000001,4,2,1,2,0,1,0
2025-03-23,acct_00000001,3,1,0,1,0,1,0
2025-03-24,acct_00000001,3,1,0,1,0,1,0
2025-03-25,acct_00000001,4,2,0,2,0,1,0
2025-03-26,acct_00000001,4,3,0,3,0,1,0
2025-03-27,acct_00000001,4,2,0,2,0,1,0
2025-03-28,acct_00000001,4,2,0,2,0,1,0
2025-03-29,acct_00000001,2,2,0,2,0,1,0
2025-03-30,acct_00000001,2,2,0,2,0,1,0
2025-03-31,acct_00000001,3,3,0,3,0,1,0
2025-04-01,acct_00000001,2,2,0,2,0,1,0
2025-04-02,acct_00000001,1,1,0,1,0,1,0
2025-04-03,acct_00000001,1,1,0,1,0,0,0
2025-04-04,acct_00000001,1,2,0,2,0,0,0
2025-04-05,acct_00000001,1,2,0,2,0,0,0
2025-04-06,acct_00000001,2,3,0,3,0,0,0
2025-04-07,acct_00000001,3,3,0,3,0,0,0
2025-04-08,acct_00000001,4,4,0,4,0,0,0
2025-04-09,acct_00000001,4,4,0,4,0,0,0
2025-04-10,acct_00000001,5,5,0,5,0,0,0
2025-04-11,acct_00000001,4,4,0,4,0,0,0
2025-04-12,acct_00000001,5,5,0,5,0,0,0
2025-04-13,acct_00000001,4,4,0,4,0,0,0
2025-04-14,acct_00000001,3,3,0,3,0,0,0
2025-04-15,acct_00000001,2,2,0,2,0,0,0
2025-04-16,acct_00000001,2,2,0,2,0,0,0
2025-04-17,acct_00000001,1,1,0,1,0,0,0
2025-04-18,acct_00000001,1,1,0,1,0,0,0
2025-04-19,acct_00000001,0,0,0,0,0,0,0
2025-04-20,acct_00000001,0,0,0,0,0,0,0
2025-04-21,acct_00000001,0,0,0,0,0,0,0
2025-04-22,acct_00000001,0,0,0,0,0,0,0
2025-04-23,acct_00000001,0,0,0,0,0,0,0
2025-04-24,acct_00000001,0,0,0,0,0,0,0
2025-04-25,acct_00000001,0,0,0,0,0,0,0
2025-04-26,acct_00000001,0,0,0,0,0,0,0
2025-04-27,acct_00000001,0,0,0,0,0,0,0
2025-04-28,acct_00000001,0,0,0,0,0,0,0
2025-04-29,acct_00000001,0,0,0,0,0,0,0
2025-04-30,acct_00000001,0,0,0,0,0,0,0
2025-01-01,acct_00000002,0,0,0,0,0,0,0
2025-01-02,acct_00000002,0,0,0,0,0,0,0
2025-01-03,acct_00000002,0,0,0,0,0,0,0
2025-01-04,acct_00000002,0,0,0,0,0,0,0
2025-01-05,acct_00000002,0,0,0,0,0,0,0
2025-01-06,acct_00000002,0,0,0,0,0,0,0
2025-01-07,acct_00000002,0,0,0,0,0,0,0
2025-01-08,acct_00000002,1,0,0,0,0,0,0
2025-01-09,acct_00000002,1,0,0,0,0,0,0
2025-01-10,acct_00000002,1,0,0,0,0,0,0
2025-01-11,acct_00000002,1,0,1,0,0,0,0
2025-01-12,acct_00000002,2,0,2,0,0,0,0
2025-01-13,acct_00000002,2,1,2,1,0,0,0
2025-01-14,acct_00000002,3,2,3,2,1,0,0
2025-01-15,acct_00000002,3,4,3,4,2,0,0
2025-01-16,acct_00000002,3,5,4,5,2,0,0
2025-01-17,acct_00000002,5,5,4,5,2,0,0
2025-01-18,acct_00000002,6,5,5,5,2,0,0
2025-01-19,acct_00000002,6,5,5,5,2,0,0
2025-01-20,acct_00000002,6,4,6,4,2,0,0
2025-01-21,acct_00000002,8,3,6,3,1,0,0
2025-01-22,acct_00000002,8,1,6,1,0,0,0
2025-01-23,acct_00000002,8,1,5,1,0,0,0
2025-01-24,acct_00000002,9,1,5,1,0,0,0
2025-01-25,acct_00000002,8,1,3,1,0,0,0
2025-01-26,acct_00000002,9,1,3,1,0,0,0
2025-01-27,acct_00000002,11,1,4,1,0,0,0
2025-01-28,acct_00000002,11,1,4,1,0,0,0
2025-01-29,acct_00000002,10,1,6,1,0,0,0
2025-01-30,acct_00000002,9,0,8,0,0,0,0
2025-01-31,acct_00000002,8,0,8,0,0,0,0
2025-02-01,acct_00000002,8,0,9,0,0,0,0
2025-02-02,acct_00000002,6,0,8,0,0,0,0
2025-02-03,acct_00000002,6,0,6,0,0,0,0
2025-02-04,acct_00000002,6,0,6,0,0,0,0
2025-02-05,acct_00000002,6,0,4,0,0,0,0
2025-02-06,acct_00000002,5,0,2,0,0,0,0
2025-02-07,acct_00000002,5,1,3,1,0,0,0
2025-02-08,acct_00000002,5,2,2,2,0,0,0
2025-02-09,acct_00000002,5,2,3,2,0,0,0
2025-02-10,acct_00000002,5,2,4,2,0,0,0
2025-02-11,acct_00000002,5,2,3,2,0,0,0
2025-02-12,acct_00000002,4,2,3,2,0,0,0
2025-02-13,acct_00000002,5,3,3,3,0,0,0
2025-02-14,acct_00000002,4,2,2,2,0,0,0
2025-02-15,acct_00000002,3,1,2,1,0,0,0
2025-02-16,acct_00000002,4,3,1,3,0,0,0
2025-02-17,acct_00000002,6,5,0,5,0,0,0
2025-02-18,acct_00000002,5,5,0,5,0,0,0
2025-02-19,acct_00000002,5,5,0,5,0,0,0
2025-02-20,acct_00000002,4,4,0,4,0,0,0
2025-02-21,acct_00000002,4,4,0,4,0,0,0
2025-02-22,acct_00000002,5,5,0,5,0,0,0
2025-02-23,acct_00000002,5,4,0,4,1,0,0
2025-02-24,acct_00000002,3,2,0,2,1,0,0
2025-02-25,acct_00000002,3,2,0,2,1,0,0
2025-02-26,acct_00000002,2,2,0,2,1,0,0
2025-02-27,acct_00000002,4,4,0,4,1,0,0
2025-02-28,acct_00000002,4,5,0,5,1,0,0
2025-03-01,acct_00000002,3,4,0,4,1,0,0
2025-03-02,acct_00000002,3,4,0,4,1,0,0
2025-03-03,acct_00000002,3,4,0,4,1,0,0
2025-03-04,acct_00000002,3,5,0,5,1,0,0
2025-03-05,acct_00000002,3,5,0,5,1,0,0
2025-03-06,acct_00000002,2,3,0,3,1,0,0
2025-03-07,acct_00000002,2,2,0,2,1,1,0
2025-03-08,acct_00000002,2,2,0,2,1,1,0
2025-03-09,acct_00000002,1,1,0,1,0,1,0
2025-03-10,acct_00000002,1,1,0,1,0,1,0
2025-03-11,acct_00000002,2,2,0,2,0,1,0
2025-03-12,acct_00000002,2,2,0,2,0,1,0
2025-03-13,acct_00000002,2,2,0,2,0,1,0
2025-03-14,acct_00000002,2,2,0,2,0,1,0
2025-03-15,acct_00000002,2,2,0,2,0,1,0
2025-03-16,acct_00000002,2,2,0,2,0,1,0
2025-03-17,acct_00000002,2,2,0,2,0,1,0
2025-03-18,acct_00000002,0,0,0,0,0,1,0
2025-03-19,acct_00000002,0,0,0,0,0,1,0
2025-03-20,acct_00000002,0,0,0,0,0,1,0
2025-03-21,acct_00000002,0,0,0,0,0,1,0
2025-03-22,acct_00000002,0,0,0,0,0,1,0
2025-03-23,acct_00000002,0,0,0,0,0,1,0
2025-03-24,acct_00000002,0,0,0,0,0,1,0
2025-03-25,acct_00000002,1,1,0,1,0,1,0
2025-03-26,acct_00000002,1,1,0,1,0,1,0
2025-03-27,acct_00000002,1,1,0,1,0,1,0
2025-03-28,acct_00000002,1,1,0,1,0,1,0
2025-03-29,acct_00000002,1,1,0,1,0,1,0
2025-03-30,acct_00000002,1,1,0,1,0,1,0
2025-03-31,acct_00000002,1,2,0,2,0,1,0
2025-04-01,acct_00000002,1,1,0,1,0,1,0
2025-04-02,acct_00000002,1,1,0,1,0,1,0
2025-04-03,acct_00000002,1,1,0,1,0,1,0
2025-04-04,acct_00000002,1,1,0,1,0,1,0
2025-04-05,acct_00000002,2,2,0,2,0,1,0
2025-04-06,acct_00000002,2,2,0,2,0,1,0
2025-04-07,acct_00000002,1,1,0,1,0,0,0
2025-04-08,acct_00000002,1,1,0,1,0,0,0
2025-04-09,acct_00000002,1,1,0,1,0,0,0
2025-04-10,acct_00000002,1,1,0,1,0,0,0
2025-04-11,acct_00000002,1,1,0,1,0,0,0
2025-04-12,acct_00000002,0,0,0,0,0,0,0
2025-04-13,acct_00000002,1,1,0,1,0,0,0
2025-04-14,acct_00000002,1,1,0,1,0,0,0
2025-04-15,acct_00000002,2,3,0,3,0,0,0
2025-04-16,acct_00000002,2,3,0,3,0,0,0
2025-04-17,acct_00000002,2,3,0,3,0,0,0
2025-04-18,acct_00000002,2,3,0,3,0,0,0
2025-04-19,acct_00000002,2,3,0,3,0,0,0
2025-04-20,acct_00000002,1,3,0,3,0,0,0
2025-04-21,acct_00000002,1,3,0,3,0,0,0
2025-04-22,acct_00000002,1,1,0,1,0,0,0
2025-04-23,acct_00000002,1,1,0,1,0,0,0
2025-04-24,acct_00000002,1,1,0,1,0,0,0
2025-04-25,acct_00000002,1,1,0,1,0,0,0
2025-04-26,acct_00000002,1,1,0,1,0,0,0
2025-04-27,acct_00000002,1,1,0,1,0,0,0
2025-04-28,acct_00000002,1,1,0,1,0,0,0
2025-04-29,acct_00000002,1,1,0,1,0,0,0
2025-04-30,acct_00000002,1,1,0,1,0,0,0
2025-01-01,acct_00000003,0,0,0,0,0,0,0
2025-01-02,acct_00000003,1,0,0,0,0,0,0
2025-01-03,acct_00000003,2,0,0,0,0,0,0
2025-01-04,acct_00000003,2,0,0,0,0,0,0
2025-01-05,acct_00000003,3,0,1,0,0,0,0
2025-01-06,acct_00000003,3,1,2,1,0,0,0
2025-01-07,acct_00000003,3,1,3,1,0,0,0
2025-01-08,acct_00000003,3,1,3,1,0,0,0
2025-01-09,acct_00000003,4,2,3,2,0,0,0
2025-01-10,acct_00000003,5,2,3,2,0,0,0
2025-01-11,acct_00000003,7,4,5,4,0,0,0
2025-01-12,acct_00000003,8,4,5,4,0,0,0
2025-01-13,acct_00000003,12,3,6,3,0,0,0
2025-01-14,acct_00000003,13,3,7,3,0,0,0
2025-01-15,acct_00000003,14,3,9,3,0,0,0
2025-01-16,acct_00000003,14,2,11,2,0,0,0
2025-01-17,acct_00000003,14,2,13,2,0,0,0
2025-01-18,acct_00000003,13,1,13,1,1,0,0
2025-01-19,acct_00000003,14,2,12,2,1,0,0
2025-01-20,acct_00000003,14,3,10,3,1,0,0
2025-01-21,acct_00000003,15,3,10,3,1,0,0
2025-01-22,acct_00000003,14,5,8,5,1,0,0
2025-01-23,acct_00000003,14,6,7,6,1,0,0
2025-01-24,acct_00000003,12,7,6,7,1,0,0
2025-01-25,acct_00000003,13,8,4,8,0,0,0
2025-01-26,acct_00000003,14,7,4,7,0,0,0
2025-01-27,acct_00000003,12,6,5,6,0,0,0
2025-01-28,acct_00000003,12,8,4,8,0,0,0
2025-01-29,acct_00000003,11,6,4,6,0,0,0
2025-01-30,acct_00000003,8,5,3,5,0,0,0
2025-01-31,acct_00000003,7,5,2,5,1,0,0
2025-02-01,acct_00000003,6,4,2,4,1,0,0
2025-02-02,acct_00000003,7,5,2,5,1,0,0
2025-02-03,acct_00000003,7,5,1,5,1,0,0
2025-02-04,acct_00000003,6,4,2,4,2,0,0
2025-02-05,acct_00000003,8,5,2,5,3,0,0
2025-02-06,acct_00000003,9,6,3,6,3,0,0
2025-02-07,acct_00000003,9,6,3,6,2,0,0
2025-02-08,acct_00000003,9,5,3,5,2,0,0
2025-02-09,acct_00000003,9,5,3,5,2,0,0
2025-02-10,acct_00000003,9,5,3,5,2,0,0
2025-02-11,acct_00000003,7,4,2,4,1,0,0
2025-02-12,acct_00000003,6,4,4,4,0,0,0
2025-02-13,acct_00000003,5,3,4,3,0,0,0
2025-02-14,acct_00000003,6,4,4,4,0,0,0
2025-02-15,acct_00000003,7,5,4,5,0,0,0
2025-02-16,acct_00000003,6,4,7,4,0,0,0
2025-02-17,acct_00000003,6,4,8,4,0,0,0
2025-02-18,acct_00000003,8,7,7,7,0,0,0
2025-02-19,acct_00000003,8,7,6,7,0,0,0
2025-02-20,acct_00000003,9,8,5,8,0,0,0
2025-02-21,acct_00000003,7,6,6,6,0,0,0
2025-02-22,acct_00000003,6,6,6,6,0,0,0
2025-02-23,acct_00000003,6,6,3,6,0,0,0
2025-02-24,acct_00000003,6,6,2,6,0,0,0
2025-02-25,acct_00000003,4,3,3,3,0,0,0
2025-02-26,acct_00000003,4,3,2,3,0,0,0
2025-02-27,acct_00000003,5,3,3,3,0,0,0
2025-02-28,acct_00000003,5,3,3,3,0,0,0
2025-03-01,acct_00000003,4,2,3,2,0,0,0
2025-03-02,acct_00000003,4,2,3,2,0,1,0
2025-03-03,acct_00000003,4,2,4,2,0,1,0
2025-03-04,acct_00000003,5,3,3,3,0,1,0
2025-03-05,acct_00000003,4,2,4,2,0,1,0
2025-03-06,acct_00000003,4,2,4,2,0,1,0
2025-03-07,acct_00000003,4,2,3,2,0,1,0
2025-03-08,acct_00000003,4,2,3,2,0,1,0
2025-03-09,acct_00000003,4,2,3,2,0,1,0
2025-03-10,acct_00000003,4,2,2,2,0,1,0
2025-03-11,acct_00000003,3,1,2,1,0,1,0
2025-03-12,acct_00000003,3,2,2,2,0,1,0
2025-03-13,acct_00000003,3,1,1,1,0,1,0
2025-03-14,acct_00000003,3,1,1,1,0,1,0
2025-03-15,acct_00000003,3,1,1,1,0,1,0
2025-03-16,acct_00000003,3,1,2,1,0,1,0
2025-03-17,acct_00000003,3,1,2,1,0,1,0
2025-03-18,acct_00000003,3,1,2,1,0,1,0
2025-03-19,acct_00000003,4,2,2,2,1,1,0
2025-03-20,acct_00000003,5,5,4,5,2,1,0
2025-03-21,acct_00000003,5,5,4,5,2,1,0
2025-03-22,acct_00000003,5,5,4,5,2,1,0
2025-03-23,acct_00000003,5,5,3,5,2,1,0
2025-03-24,acct_00000003,5,5,3,5,2,1,0
2025-03-25,acct_00000003,6,6,4,6,2,1,0
2025-03-26,acct_00000003,5,4,4,4,1,1,0
2025-03-27,acct_00000003,4,2,4,2,0,1,0
2025-03-28,acct_00000003,4,2,4,2,0,1,0
2025-03-29,acct_00000003,4,2,4,2,0,1,0
2025-03-30,acct_00000003,5,3,4,3,0,1,0
2025-03-31,acct_00000003,5,3,4,3,0,1,0
2025-04-01,acct_00000003,4,2,3,2,0,1,0
2025-04-02,acct_00000003,4,3,4,3,1,0,0
2025-04-03,acct_00000003,2,2,2,2,1,0,0
2025-04-04,acct_00000003,3,3,2,3,1,0,0
2025-04-05,acct_00000003,3,3,3,3,1,0,0
2025-04-06,acct_00000003,3,3,3,3,1,0,0
2025-04-07,acct_00000003,3,3,3,3,1,0,0
2025-04-08,acct_00000003,3,3,3,3,1,0,0
2025-04-09,acct_00000003,4,3,1,3,0,0,0
2025-04-10,acct_00000003,4,3,1,3,0,0,0
2025-04-11,acct_00000003,6,5,1,5,1,0,0
2025-04-12,acct_00000003,6,5,0,5,1,0,0
2025-04-13,acct_00000003,5,5,0,5,1,0,0
2025-04-14,acct_00000003,4,6,0,6,2,0,0
2025-04-15,acct_00000003,4,6,0,6,2,0,0
2025-04-16,acct_00000003,4,6,0,6,2,0,0
2025-04-17,acct_00000003,4,6,0,6,2,0,0
2025-04-18,acct_00000003,2,3,0,3,1,0,0
2025-04-19,acct_00000003,2,3,0,3,1,0,0
2025-04-20,acct_00000003,2,2,0,2,1,0,0
2025-04-21,acct_00000003,1,1,0,1,0,0,0
2025-04-22,acct_00000003,1,1,0,1,0,0,0
2025-04-23,acct_00000003,0,0,0,0,0,0,0
2025-04-24,acct_00000003,0,0,0,0,0,0,0
2025-04-25,acct_00000003,0,0,0,0,0,0,0
2025-04-26,acct_00000003,0,0,0,0,0,0,0
2025-04-27,acct_00000003,0,0,0,0,0,0,0
2025-04-28,acct_00000003,1,1,0,1,0,0,0
2025-04-29,acct_00000003,3,4,0,4,0,0,0
2025-04-30,acct_00000003,3,4,0,4,0,0,0
2025-01-01,acct_00000004,0,0,0,0,0,0,0
2025-01-02,acct_00000004,0,0,0,0,0,0,0
2025-01-03,acct_00000004,0,0,0,0,0,0,0
2025-01-04,acct_00000004,0,0,0,0,0,0,0
2025-01-05,acct_00000004,0,0,0,0,0,0,0
2025-01-06,acct_00000004,0,0,0,0,0,0,0
2025-01-07,acct_00000004,0,0,0,0,0,0,0
2025-01-08,acct_00000004,0,0,0,0,0,0,0
2025-01-09,acct_00000004,0,0,0,0,0,0,0
2025-01-10,acct_00000004,0,0,0,0,0,0,0
2025-01-11,acct_00000004,0,0,0,0,0,0,0
2025-01-12,acct_00000004,0,0,0,0,0,0,0
2025-01-13,acct_00000004,0,0,0,0,0,0,0
2025-01-14,acct_00000004,0,0,0,0,0,0,0
2025-01-15,acct_00000004,0,0,0,0,0,0,0
2025-01-16,acct_00000004,0,0,0,0,0,0,0
2025-01-17,acct_00000004,0,0,0,0,0,0,0
2025-01-18,acct_00000004,0,0,0,0,0,0,0
2025-01-19,acct_00000004,0,0,0,0,0,0,0
2025-01-20,acct_00000004,0,0,0,0,0,0,0
2025-01-21,acct_00000004,0,0,0,0,0,0,0
2025-01-22,acct_00000004,0,0,0,0,0,0,0
2025-01-23,acct_00000004,1,0,0,0,0,0,0
2025-01-24,acct_00000004,1,0,0,0,0,0,0
2025-01-25,acct_00000004,3,0,2,0,0,0,0
2025-01-26,acct_00000004,3,0,2,0,0,0,0
2025-01-27,acct_00000004,3,0,2,0,0,0,0
2025-01-28,acct_00000004,4,0,3,0,0,0,0
2025-01-29,acct_00000004,6,0,5,0,0,0,0
2025-01-30,acct_00000004,6,1,7,1,0,0,0
2025-01-31,acct_00000004,6,2,10,2,0,0,0
2025-02-01,acct_00000004,6,2,9,2,0,0,0
2025-02-02,acct_00000004,7,2,10,2,0,0,0
2025-02-03,acct_00000004,7,2,11,2,0,0,0
2025-02-04,acct_00000004,7,2,10,2,0,0,0
2025-02-05,acct_00000004,7,3,8,3,0,0,0
2025-02-06,acct_00000004,7,2,6,2,0,0,0
2025-02-07,acct_00000004,7,1,4,1,0,0,0
2025-02-08,acct_00000004,8,1,4,1,0,0,0
2025-02-09,acct_00000004,9,1,6,1,0,0,0
2025-02-10,acct_00000004,9,1,5,1,0,0,0
2025-02-11,acct_00000004,13,1,6,1,0,0,0
2025-02-12,acct_00000004,12,0,7,0,0,0,0
2025-02-13,acct_00000004,12,0,8,0,0,0,0
2025-02-14,acct_00000004,13,0,8,0,0,0,0
2025-02-15,acct_00000004,12,0,8,0,0,0,0
2025-02-16,acct_00000004,12,0,6,0,0,0,0
2025-02-17,acct_00000004,11,0,8,0,0,0,0
2025-02-18,acct_00000004,11,0,8,0,0,0,0
2025-02-19,acct_00000004,11,1,7,1,1,0,0
2025-02-20,acct_00000004,9,1,6,1,1,0,0
2025-02-21,acct_00000004,8,1,5,1,1,0,0
2025-02-22,acct_00000004,8,1,4,1,1,0,0
2025-02-23,acct_00000004,7,1,3,1,1,0,0
2025-02-24,acct_00000004,7,1,1,1,1,0,0
2025-02-25,acct_00000004,6,1,1,1,1,0,0
2025-02-26,acct_00000004,6,1,2,1,0,0,0
2025-02-27,acct_00000004,5,1,2,1,0,0,0
2025-02-28,acct_00000004,4,1,2,1,0,0,0
2025-03-01,acct_00000004,3,1,2,1,0,0,0
2025-03-02,acct_00000004,3,1,3,1,0,0,0
2025-03-03,acct_00000004,3,1,3,1,0,0,0
2025-03-04,acct_00000004,3,1,2,1,0,0,0
2025-03-05,acct_00000004,3,1,1,1,0,0,0
2025-03-06,acct_00000004,3,1,1,1,0,0,0
2025-03-07,acct_00000004,3,1,1,1,0,0,0
2025-03-08,acct_00000004,3,1,1,1,0,0,0
2025-03-09,acct_00000004,2,1,0,1,0,0,0
2025-03-10,acct_00000004,2,1,0,1,0,0,0
2025-03-11,acct_00000004,3,2,0,2,0,0,0
2025-03-12,acct_00000004,2,1,0,1,0,0,0
2025-03-13,acct_00000004,2,1,0,1,0,0,0
2025-03-14,acct_00000004,2,1,0,1,0,0,0
2025-03-15,acct_00000004,2,1,0,1,0,0,0
2025-03-16,acct_00000004,2,2,0,2,0,0,0
2025-03-17,acct_00000004,2,2,0,2,0,0,0
2025-03-18,acct_00000004,1,1,0,1,0,0,0
2025-03-19,acct_00000004,3,3,0,3,0,0,0
2025-03-20,acct_00000004,3,3,0,3,0,0,0
2025-03-21,acct_00000004,4,4,0,4,0,0,0
2025-03-22,acct_00000004,5,5,0,5,0,0,0
2025-03-23,acct_00000004,6,6,0,6,1,0,0
2025-03-24,acct_00000004,6,7,0,7,1,1,0
2025-03-25,acct_00000004,6,7,0,7,1,1,0
2025-03-26,acct_00000004,5,5,0,5,1,1,0
2025-03-27,acct_00000004,5,5,0,5,1,1,0
2025-03-28,acct_00000004,4,4,0,4,1,1,0
2025-03-29,acct_00000004,3,3,0,3,1,1,0
2025-03-30,acct_00000004,1,1,0,1,0,1,0
2025-03-31,acct_00000004,0,0,0,0,0,1,0
2025-04-01,acct_00000004,1,1,0,1,0,1,0
2025-04-02,acct_00000004,1,1,0,1,0,1,0
2025-04-03,acct_00000004,2,2,0,2,0,1,0
2025-04-04,acct_00000004,2,2,0,2,0,1,0
2025-04-05,acct_00000004,2,2,0,2,0,1,0
2025-04-06,acct_00000004,2,2,0,2,0,1,0
2025-04-07,acct_00000004,2,2,0,2,0,1,0
2025-04-08,acct_00000004,1,1,0,1,0,1,0
2025-04-09,acct_00000004,1,1,0,1,0,1,0
2025-04-10,acct_00000004,1,1,0,1,0,1,0
2025-04-11,acct_00000004,1,1,0,1,0,1,0
2025-04-12,acct_00000004,1,1,0,1,0,1,0
2025-04-13,acct_00000004,1,1,0,1,0,1,0
2025-04-14,acct_00000004,1,1,0,1,0,1,0
2025-04-15,acct_00000004,1,1,0,1,0,1,0
2025-04-16,acct_00000004,1,1,0,1,0,1,0
2025-04-17,acct_00000004,0,0,0,0,0,1,0
2025-04-18,acct_00000004,0,0,0,0,0,1,0
2025-04-19,acct_00000004,0,0,0,0,0,1,0
2025-04-20,acct_00000004,1,1,0,1,1,1,0
2025-04-21,acct_00000004,1,1,0,1,1,1,0
2025-04-22,acct_00000004,2,2,0,2,1,1,0
2025-04-23,acct_00000004,2,2,0,2,1,1,0
2025-04-24,acct_00000004,2,2,0,2,1,0,0
2025-04-25,acct_00000004,2,2,0,2,1,0,0
2025-04-26,acct_00000004,3,3,0,3,1,0,0
2025-04-27,acct_00000004,2,2,0,2,0,0,0
2025-04-28,acct_00000004,2,2,0,2,0,0,0
2025-04-29,acct_00000004,1,1,0,1,0,0,0
2025-04-30,acct_00000004,1,1,0,1,0,0,0
2025-01-01,acct_00000005,0,0,0,0,0,0,0
2025-01-02,acct_00000005,0,0,0,0,0,0,0
2025-01-03,acct_00000005,0,0,0,0,0,0,0
2025-01-04,acct_00000005,0,0,0,0,0,0,0
2025-01-05,acct_00000005,0,0,0,0,0,0,0
2025-01-06,acct_00000005,0,0,0,0,0,0,0
2025-01-07,acct_00000005,0,0,0,0,0,0,0
2025-01-08,acct_00000005,0,0,0,0,0,0,0
2025-01-09,acct_00000005,0,0,0,0,0,0,0
2025-01-10,acct_00000005,0,0,0,0,0,0,0
2025-01-11,acct_00000005,0,0,0,0,0,0,0
2025-01-12,acct_00000005,0,0,0,0,0,0,0
2025-01-13,acct_00000005,0,0,0,0,0,0,0
2025-01-14,acct_00000005,0,0,0,0,0,0,0
