conversation_id,account_id,user_id,created_at,resolved_at,channel,issue_type,resolved_by,ai_assist_used_flag,escalated_flag,resolution_minutes,csat_score
conv_00000065,acct_00000002,usr_00000026,2025-02-22 18:53:21,2025-02-22 19:25:21,chat,permissions,human,0,0,32,2.7
conv_00000046,acct_00000002,usr_00000023,2025-02-23 11:15:27,2025-02-23 14:32:27,chat,bug,human,0,1,197,2.8
conv_00000045,acct_00000002,usr_00000030,2025-02-27 13:59:33,2025-02-27 14:28:33,email,permissions,human,0,0,29,3.5
conv_00000069,acct_00000002,usr_00000024,2025-02-27 16:08:31,2025-02-27 16:45:31,chat,billing,human,0,0,37,3.2
conv_00000049,acct_00000002,usr_00000023,2025-02-28 13:48:15,2025-02-28 14:14:15,chat,reporting,human,0,0,26,3.2
conv_00000073,acct_00000002,usr_00000023,2025-03-02 21:05:03,2025-03-02 22:17:03,email,permissions,human,0,1,72,2.7
conv_00000070,acct_00000002,usr_00000030,2025-03-04 16:14:08,2025-03-04 16:31:08,email,setup,ai_plus_human,1,0,17,3.6
conv_00000068,acct_00000002,usr_00000032,2025-03-11 09:15:06,2025-03-11 09:41:06,chat,setup,human,0,0,26,4.1
conv_00000052,acct_00000002,usr_00000027,2025-03-11 21:36:33,2025-03-11 22:19:33,chat,workflow,ai,1,0,43,2.9
conv_00000044,acct_00000002,usr_00000031,2025-03-25 16:34:35,2025-03-25 17:32:35,chat,billing,human,0,0,58,2.5
conv_00000061,acct_00000002,usr_00000031,2025-03-31 15:32:49,2025-03-31 16:15:49,email,billing,human,0,0,43,2.8
conv_00000055,acct_00000002,usr_00000022,2025-04-05 13:44:23,2025-04-05 14:05:23,email,permissions,ai,1,0,21,3.5
conv_00000064,acct_00000002,usr_00000023,2025-04-13 20:43:56,2025-04-13 21:14:56,chat,permissions,human,0,0,31,3.2
conv_00000072,acct_00000002,usr_00000029,2025-04-15 19:24:57,2025-04-15 20:59:57,chat,bug,human,0,0,95,4.0
conv_00000048,acct_00000002,usr_00000029,2025-04-15 20:51:58,2025-04-15 21:29:58,chat,permissions,human,0,0,38,4.0
conv_00000056,acct_00000002,usr_00000029,2025-04-20 15:01:50,2025-04-20 15:25:50,chat,setup,human,0,0,24,3.0
conv_00000058,acct_00000002,usr_00000031,2025-04-27 20:09:48,2025-04-27 21:34:48,email,bug,human,0,0,85,2.8
conv_00000118,acct_00000003,usr_00000048,2025-01-06 08:09:19,2025-01-06 09:01:19,chat,billing,human,0,0,52,2.9
conv_00000124,acct_00000003,usr_00000048,2025-01-09 13:04:38,2025-01-09 13:35:38,email,setup,human,0,0,31,3.1
conv_00000089,acct_00000003,usr_00000048,2025-01-11 13:29:27,2025-01-11 14:16:27,email,reporting,human,0,0,47,3.0
conv_00000078,acct_00000003,usr_00000034,2025-01-11 16:35:19,2025-01-11 18:00:19,chat,bug,ai,1,0,85,3.5
conv_00000119,acct_00000003,usr_00000045,2025-01-18 18:12:50,2025-01-18 20:03:50,email,workflow,human,0,1,111,2.9
conv_00000084,acct_00000003,usr_00000043,2025-01-19 15:25:41,2025-01-19 16:08:41,email,permissions,human,0,0,43,3.6
conv_00000079,acct_00000003,usr_00000047,2025-01-20 09:19:25,2025-01-20 09:25:25,web,setup,ai,1,0,6,3.6
conv_00000082,acct_00000003,usr_00000035,2025-01-22 12:56:10,2025-01-22 13:35:10,chat,api,human,0,0,39,3.5
conv_00000112,acct_00000003,usr_00000033,2025-01-22 20:54:01,2025-01-22 21:36:01,chat,billing,human,0,0,42,3.3
conv_00000116,acct_00000003,usr_00000042,2025-01-23 13:14:57,2025-01-23 13:35:57,chat,setup,human,0,0,21,3.0
conv_00000114,acct_00000003,usr_00000039,2025-01-24 18:34:14,2025-01-24 19:01:14,chat,billing,human,0,0,27,4.1
conv_00000080,acct_00000003,usr_00000038,2025-01-25 12:08:44,2025-01-25 12:29:44,chat,setup,ai_plus_human,1,0,21,3.7
conv_00000132,acct_00000003,usr_00000043,2025-01-25 19:52:52,2025-01-25 20:24:52,chat,workflow,ai,1,0,32,4.1
conv_00000091,acct_00000003,usr_00000043,2025-01-28 11:45:58,2025-01-28 12:22:58,chat,reporting,ai,1,0,37,3.7
conv_00000121,acct_00000003,usr_00000037,2025-01-28 15:17:47,2025-01-28 15:50:47,email,workflow,human,0,0,33,3.3
conv_00000111,acct_00000003,usr_00000035,2025-01-31 13:20:36,2025-01-31 14:16:36,chat,setup,human,0,1,56,1.9
conv_00000131,acct_00000003,usr_00000046,2025-02-01 12:27:56,2025-02-01 13:08:56,chat,billing,ai,1,0,41,3.7
conv_00000105,acct_00000003,usr_00000033,2025-02-02 07:01:21,2025-02-02 07:38:21,chat,billing,human,0,0,37,3.8
conv_00000123,acct_00000003,usr_00000041,2025-02-04 11:44:41,2025-02-04 12:41:41,chat,permissions,human,0,1,57,2.6
conv_00000096,acct_00000003,usr_00000036,2025-02-05 11:45:47,2025-02-05 12:33:47,web,reporting,ai_plus_human,1,1,48,3.6
conv_00000126,acct_00000003,usr_00000037,2025-02-06 07:46:23,2025-02-06 08:46:23,email,billing,human,0,0,60,3.4
conv_00000130,acct_00000003,usr_00000040,2025-02-07 14:12:59,2025-02-07 15:03:59,web,workflow,human,0,0,51,3.3
conv_00000120,acct_00000003,usr_00000033,2025-02-09 19:42:30,2025-02-09 20:46:30,chat,bug,ai_plus_human,1,0,64,4.6
conv_00000115,acct_00000003,usr_00000034,2025-02-12 19:12:24,2025-02-12 19:40:24,web,permissions,ai_plus_human,1,0,28,4.0
conv_00000075,acct_00000003,usr_00000039,2025-02-14 13:14:25,2025-02-14 14:57:25,chat,bug,human,0,0,103,3.6
conv_00000081,acct_00000003,usr_00000049,2025-02-14 15:05:26,2025-02-14 16:27:26,chat,bug,human,0,0,82,3.6
conv_00000074,acct_00000003,usr_00000050,2025-02-15 10:16:54,2025-02-15 11:42:54,chat,bug,human,0,0,86,3.5
conv_00000133,acct_00000003,usr_00000048,2025-02-18 11:44:06,2025-02-18 12:48:06,chat,api,human,0,0,64,3.4
conv_00000101,acct_00000003,usr_00000051,2025-02-18 12:25:49,2025-02-18 13:21:49,chat,workflow,human,0,0,56,3.9
conv_00000106,acct_00000003,usr_00000035,2025-02-18 13:06:21,2025-02-18 13:37:21,email,setup,human,0,0,31,3.3
conv_00000076,acct_00000003,usr_00000042,2025-02-19 08:41:36,2025-02-19 09:25:36,web,workflow,ai,1,0,44,3.7
conv_00000077,acct_00000003,usr_00000040,2025-02-20 14:33:13,2025-02-20 15:11:13,web,billing,human,0,0,38,3.2
conv_00000094,acct_00000003,usr_00000040,2025-02-22 10:17:28,2025-02-22 10:49:28,email,billing,human,0,0,32,3.5
conv_00000103,acct_00000003,usr_00000041,2025-02-26 14:12:48,2025-02-26 15:00:48,email,permissions,human,0,0,48,3.5
conv_00000090,acct_00000003,usr_00000045,2025-02-27 19:28:34,2025-02-27 20:06:34,chat,setup,ai,1,0,38,3.9
conv_00000093,acct_00000003,usr_00000044,2025-03-04 07:17:31,2025-03-04 07:45:31,chat,billing,ai,1,0,28,4.2
conv_00000117,acct_00000003,usr_00000033,2025-03-06 20:08:46,2025-03-06 20:37:46,email,setup,human,0,0,29,3.9
conv_00000086,acct_00000003,usr_00000033,2025-03-12 16:05:04,2025-03-12 17:39:04,web,api,human,0,0,94,3.2
conv_00000100,acct_00000003,usr_00000038,2025-03-19 07:07:06,2025-03-19 07:50:06,chat,permissions,human,0,0,43,3.5
conv_00000128,acct_00000003,usr_00000034,2025-03-19 13:07:09,2025-03-19 14:11:09,email,permissions,human,0,1,64,2.9
conv_00000125,acct_00000003,usr_00000037,2025-03-20 07:34:11,2025-03-20 08:58:11,chat,api,human,0,0,84,4.0
conv_00000083,acct_00000003,usr_00000038,2025-03-20 13:08:21,2025-03-20 14:47:21,chat,api,human,0,0,99,3.2
conv_00000102,acct_00000003,usr_00000048,2025-03-20 21:23:33,2025-03-20 22:34:33,email,workflow,ai_plus_human,1,1,71,3.5
conv_00000088,acct_00000003,usr_00000041,2025-03-25 21:52:15,2025-03-25 22:31:15,email,workflow,ai,1,0,39,3.4
conv_00000097,acct_00000003,usr_00000042,2025-03-27 20:58:57,2025-03-27 21:31:57,email,permissions,human,0,0,33,3.7
conv_00000099,acct_00000003,usr_00000049,2025-03-30 20:11:57,2025-03-30 20:55:57,chat,billing,human,0,0,44,3.6
conv_00000109,acct_00000003,usr_00000048,2025-04-02 08:49:23,2025-04-02 09:55:23,email,billing,human,0,1,66,2.0
conv_00000129,acct_00000003,usr_00000051,2025-04-04 13:37:32,2025-04-04 14:08:32,web,setup,human,0,0,31,3.3
conv_00000092,acct_00000003,usr_00000044,2025-04-06 14:41:10,2025-04-06 15:31:10,chat,billing,human,0,0,50,3.9
conv_00000087,acct_00000003,usr_00000033,2025-04-09 08:19:32,2025-04-09 08:52:32,chat,reporting,human,0,0,33,4.0
conv_00000095,acct_00000003,usr_00000049,2025-04-11 10:26:02,2025-04-11 11:00:02,email,reporting,ai_plus_human,1,0,34,3.8
conv_00000122,acct_00000003,usr_00000035,2025-04-11 14:15:17,2025-04-11 17:34:17,email,bug,human,0,1,199,2.8
conv_00000113,acct_00000003,usr_00000051,2025-04-11 20:17:56,2025-04-11 21:01:56,chat,reporting,human,0,0,44,4.3
conv_00000108,acct_00000003,usr_00000033,2025-04-13 08:57:29,2025-04-13 10:21:29,chat,bug,human,0,0,84,3.9
conv_00000127,acct_00000003,usr_00000033,2025-04-14 13:23:57,2025-04-14 14:43:57,email,billing,human,0,1,80,2.2
conv_00000107,acct_00000003,usr_00000049,2025-04-16 10:09:54,2025-04-16 10:50:54,chat,reporting,human,0,0,41,3.9
conv_00000110,acct_00000003,usr_00000033,2025-04-28 15:08:07,2025-04-28 15:48:07,chat,reporting,human,0,0,40,3.7
conv_00000098,acct_00000003,usr_00000033,2025-04-29 10:24:33,2025-04-29 11:37:33,chat,api,human,0,0,73,3.0
conv_00000085,acct_00000003,usr_00000045,2025-04-29 13:22:38,2025-04-29 13:51:38,email,setup,human,0,0,29,3.2
conv_00000104,acct_00000003,usr_00000039,2025-04-29 18:02:58,2025-04-29 18:28:58,chat,permissions,human,0,0,26,3.6
conv_00000143,acct_00000004,usr_00000057,2025-01-30 14:24:14,2025-01-30 14:50:14,chat,setup,ai,1,0,26,3.6
conv_00000154,acct_00000004,usr_00000060,2025-01-31 08:19:40,2025-01-31 08:41:40,chat,permissions,ai_plus_human,1,0,22,3.8
conv_00000138,acct_00000004,usr_00000057,2025-02-05 07:45:37,2025-02-05 08:20:37,chat,reporting,ai_plus_human,1,0,35,3.8
conv_00000142,acct_00000004,usr_00000055,2025-02-19 08:36:27,2025-02-19 10:35:27,chat,bug,human,0,1,119,3.0
conv_00000141,acct_00000004,usr_00000055,2025-02-26 09:37:26,2025-02-26 10:16:26,chat,billing,ai_plus_human,1,0,39,3.1
conv_00000147,acct_00000004,usr_00000068,2025-03-05 17:06:46,2025-03-05 17:50:46,email,api,ai,1,0,44,3.5
conv_00000153,acct_00000004,usr_00000052,2025-03-11 08:27:47,2025-03-11 08:43:47,chat,setup,ai,1,0,16,3.4
conv_00000148,acct_00000004,usr_00000062,2025-03-16 19:35:45,2025-03-16 20:33:45,chat,bug,ai,1,0,58,4.1
conv_00000144,acct_00000004,usr_00000053,2025-03-19 09:23:08,2025-03-19 10:15:08,chat,bug,ai,1,0,52,3.7
conv_00000139,acct_00000004,usr_00000067,2025-03-19 21:26:41,2025-03-19 21:52:41,chat,workflow,ai_plus_human,1,0,26,3.8
conv_00000140,acct_00000004,usr_00000059,2025-03-21 19:02:50,2025-03-21 19:37:50,email,reporting,human,0,0,35,3.4
conv_00000145,acct_00000004,usr_00000065,2025-03-22 13:22:45,2025-03-22 14:34:45,chat,api,human,0,0,72,3.4
conv_00000152,acct_00000004,usr_00000054,2025-03-23 07:11:16,2025-03-23 09:14:16,chat,api,human,0,1,123,2.6
conv_00000150,acct_00000004,usr_00000057,2025-03-23 11:45:21,2025-03-23 12:10:21,email,permissions,human,0,0,25,3.0
conv_00000151,acct_00000004,usr_00000067,2025-03-24 16:30:47,2025-03-24 16:55:47,web,setup,ai,1,0,25,3.7
conv_00000149,acct_00000004,usr_00000066,2025-04-01 12:48:23,2025-04-01 13:33:23,chat,reporting,human,0,0,45,3.5
conv_00000137,acct_00000004,usr_00000059,2025-04-03 16:34:28,2025-04-03 17:18:28,chat,billing,human,0,0,44,3.6
conv_00000134,acct_00000004,usr_00000056,2025-04-10 10:44:27,2025-04-10 11:22:27,email,reporting,human,0,0,38,3.6
conv_00000135,acct_00000004,usr_00000057,2025-04-20 18:24:14,2025-04-20 19:28:14,email,permissions,human,0,1,64,2.8
conv_00000136,acct_00000004,usr_00000066,2025-04-22 08:41:30,2025-04-22 09:22:30,email,workflow,human,0,0,41,2.9
conv_00000146,acct_00000004,usr_00000058,2025-04-26 08:11:11,2025-04-26 08:38:11,chat,setup,ai,1,0,27,3.5
conv_00000199,acct_00000005,usr_00000095,2025-02-12 17:10:31,2025-02-12 18:13:31,chat,bug,ai_plus_human,1,0,63,4.1
conv_00000168,acct_00000005,usr_00000095,2025-02-13 16:20:28,2025-02-13 16:58:28,email,workflow,ai,1,0,38,3.6
conv_00000187,acct_00000005,usr_00000095,2025-02-13 16:28:57,2025-02-13 17:05:57,email,reporting,human,0,0,37,3.3
conv_00000169,acct_00000005,usr_00000088,2025-02-14 10:23:07,2025-02-14 11:38:07,chat,reporting,human,0,1,75,3.0
conv_00000181,acct_00000005,usr_00000078,2025-02-14 21:46:11,2025-02-14 22:35:11,email,workflow,human,0,0,49,3.6
conv_00000195,acct_00000005,usr_00000095,2025-02-15 11:27:40,2025-02-15 12:42:40,email,api,human,0,0,75,3.3
conv_00000155,acct_00000005,usr_00000088,2025-02-17 12:38:59,2025-02-17 13:26:59,email,workflow,human,0,0,48,3.8
conv_00000178,acct_00000005,usr_00000074,2025-02-17 12:45:17,2025-02-17 13:24:17,chat,reporting,human,0,0,39,4.2
conv_00000190,acct_00000005,usr_00000094,2025-02-22 13:33:10,2025-02-22 14:46:10,chat,api,human,0,0,73,3.4
conv_00000189,acct_00000005,usr_00000076,2025-02-27 08:01:20,2025-02-27 08:21:20,chat,setup,ai,1,0,20,3.3
conv_00000197,acct_00000005,usr_00000082,2025-02-28 12:54:58,2025-02-28 13:26:58,chat,setup,human,0,0,32,3.9
conv_00000159,acct_00000005,usr_00000090,2025-03-01 16:22:08,2025-03-01 17:03:08,chat,reporting,human,0,0,41,3.8
conv_00000170,acct_00000005,usr_00000074,2025-03-01 20:28:43,2025-03-01 21:07:43,web,reporting,human,0,0,39,3.2
conv_00000160,acct_00000005,usr_00000087,2025-03-10 19:33:15,2025-03-10 20:23:15,web,billing,human,0,0,50,3.9
conv_00000196,acct_00000005,usr_00000086,2025-03-10 21:47:11,2025-03-10 22:03:11,chat,setup,ai,1,0,16,3.7
conv_00000179,acct_00000005,usr_00000096,2025-03-11 10:09:59,2025-03-11 10:32:59,chat,billing,ai,1,0,23,3.4
conv_00000193,acct_00000005,usr_00000090,2025-03-11 15:50:56,2025-03-11 16:37:56,email,workflow,human,0,0,47,2.9
conv_00000163,acct_00000005,usr_00000093,2025-03-12 08:34:10,2025-03-12 09:09:10,chat,reporting,ai,1,0,35,2.9
conv_00000186,acct_00000005,usr_00000094,2025-03-13 10:19:40,2025-03-13 11:15:40,email,workflow,human,0,0,56,3.7
conv_00000176,acct_00000005,usr_00000079,2025-03-17 12:14:59,2025-03-17 13:35:59,email,api,human,0,0,81,3.7
conv_00000182,acct_00000005,usr_00000097,2025-03-17 15:32:29,2025-03-17 16:05:29,email,workflow,ai,1,0,33,3.2
conv_00000200,acct_00000005,usr_00000082,2025-03-23 13:28:49,2025-03-23 14:16:49,email,workflow,ai,1,0,48,3.8
conv_00000171,acct_00000005,usr_00000096,2025-03-25 09:18:15,2025-03-25 10:29:15,email,api,human,0,0,71,3.6
conv_00000177,acct_00000005,usr_00000073,2025-03-28 09:41:54,2025-03-28 10:15:54,web,reporting,human,0,0,34,3.0
conv_00000167,acct_00000005,usr_00000099,2025-03-28 10:14:23,2025-03-28 10:57:23,email,billing,ai,1,0,43,2.8
conv_00000164,acct_00000005,usr_00000075,2025-03-30 11:15:06,2025-03-30 12:29:06,email,bug,human,0,0,74,3.4
conv_00000161,acct_00000005,usr_00000089,2025-04-01 20:12:25,2025-04-01 21:13:25,web,workflow,human,0,0,61,3.5
conv_00000183,acct_00000005,usr_00000073,2025-04-03 18:39:25,2025-04-03 19:16:25,chat,billing,human,0,0,37,3.2
conv_00000165,acct_00000005,usr_00000094,2025-04-05 18:07:43,2025-04-05 18:42:43,chat,billing,ai,1,0,35,3.8
conv_00000174,acct_00000005,usr_00000073,2025-04-06 07:23:50,2025-04-06 07:28:50,email,setup,ai,1,0,5,4.0
conv_00000166,acct_00000005,usr_00000074,2025-04-11 20:46:01,2025-04-11 21:25:01,email,billing,ai,1,0,39,4.2
conv_00000192,acct_00000005,usr_00000089,2025-04-12 09:37:45,2025-04-12 10:02:45,chat,permissions,human,0,0,25,3.5
conv_00000191,acct_00000005,usr_00000095,2025-04-13 08:55:17,2025-04-13 09:13:17,chat,setup,human,0,0,18,3.2
conv_00000184,acct_00000005,usr_00000097,2025-04-13 17:54:51,2025-04-13 19:05:51,chat,bug,ai,1,0,71,3.4
conv_00000158,acct_00000005,usr_00000096,2025-04-17 14:33:09,2025-04-17 14:57:09,email,reporting,ai_plus_human,1,0,24,3.2
conv_00000194,acct_00000005,usr_00000085,2025-04-20 13:43:24,2025-04-20 14:09:24,chat,reporting,human,0,0,26,3.5
conv_00000175,acct_00000005,usr_00000085,2025-04-22 07:58:55,2025-04-22 08:53:55,email,bug,human,0,0,55,3.1
conv_00000173,acct_00000005,usr_00000089,2025-04-22 15:07:19,2025-04-22 15:20:19,chat,setup,ai,1,0,13,3.8
conv_00000188,acct_00000005,usr_00000083,2025-04-24 11:26:46,2025-04-24 12:12:46,web,reporting,human,0,0,46,3.5
conv_00000180,acct_00000005,usr_00000076,2025-04-24 18:51:42,2025-04-24 19:07:42,chat,setup,human,0,0,16,3.6
conv_00000185,acct_00000005,usr_00000076,2025-04-24 20:16:26,2025-04-24 21:55:26,email,bug,human,0,0,99,3.8
conv_00000172,acct_00000005,usr_00000075,2025-04-24 21:27:31,2025-04-24 22:00:31,chat,setup,ai_plus_human,1,0,33,4.1
conv_00000157,acct_00000005,usr_00000071,2025-04-25 08:12:05,2025-04-25 08:37:05,email,reporting,ai,1,0,25,3.4
conv_00000162,acct_00000005,usr_00000092,2025-04-25 11:29:50,2025-04-25 11:59:50,chat,permissions,human,0,0,30,2.7
conv_00000156,acct_00000005,usr_00000079,2025-04-26 20:41:33,2025-04-26 21:20:33,chat,billing,human,0,0,39,3.6
conv_00000198,acct_00000005,usr_00000088,2025-04-27 09:42:18,2025-04-27 11:29:18,chat,bug,human,0,0,107,3.5
conv_00000212,acct_00000006,usr_00000100,2025-01-19 12:41:26,2025-01-19 13:34:26,email,api,ai_plus_human,1,0,53,3.8
conv_00000205,acct_00000006,usr_00000109,2025-01-26 15:09:10,2025-01-26 15:23:10,email,setup,human,0,0,14,3.6
conv_00000225,acct_00000006,usr_00000108,2025-02-04 13:06:38,2025-02-04 13:51:38,email,permissions,human,0,0,45,3.4
conv_00000214,acct_00000006,usr_00000107,2025-02-05 12:15:05,2025-02-05 13:16:05,web,permissions,human,0,1,61,2.1
conv_00000228,acct_00000006,usr_00000103,2025-02-08 12:32:39,2025-02-08 12:54:39,email,setup,human,0,0,22,2.9
conv_00000229,acct_00000006,usr_00000102,2025-02-08 14:11:09,2025-02-08 15:51:09,email,api,human,0,1,100,2.5
conv_00000220,acct_00000006,usr_00000109,2025-02-11 14:44:01,2025-02-11 15:02:01,chat,workflow,ai_plus_human,1,0,18,3.5
conv_00000221,acct_00000006,usr_00000102,2025-02-18 07:15:44,2025-02-18 08:02:44,email,permissions,human,0,0,47,3.3
conv_00000222,acct_00000006,usr_00000102,2025-02-23 21:09:04,2025-02-23 22:36:04,web,bug,human,0,0,87,4.1
conv_00000219,acct_00000006,usr_00000102,2025-02-25 09:36:03,2025-02-25 10:20:03,chat,workflow,human,0,0,44,4.1
conv_00000204,acct_00000006,usr_00000106,2025-03-05 14:26:28,2025-03-05 14:55:28,web,reporting,ai,1,0,29,3.8
